dataset,seed,hop,train_exact,val_exact,test_exact,target_n_train,target_n_val,target_n_test,actual_n_train,actual_n_val,actual_n_test
dlpfc,0,2,True,False,False,31921,5334,7762,31921,4768,4768
dlpfc,0,5,True,False,True,31921,5334,516,31921,4768,516
dlpfc,1,2,True,False,False,31921,5334,7762,31921,4768,4768
dlpfc,1,5,True,False,True,31921,5334,516,31921,4768,516
dlpfc,2,2,True,False,False,31412,5388,8715,31412,4768,4768
dlpfc,2,5,True,False,True,31412,5388,3285,31412,4768,3285
dlpfc,3,2,True,False,False,31471,5408,9210,31471,4768,4768
dlpfc,3,5,True,False,False,31471,5408,4831,31471,4768,4768
dlpfc,4,2,True,False,False,31471,5408,9210,31471,4768,4768
dlpfc,4,5,True,False,False,31471,5408,4831,31471,4768,4768
dlpfc,5,2,True,False,False,31921,5334,7762,31921,4768,4768
dlpfc,5,5,True,False,True,31921,5334,516,31921,4768,516
dlpfc,6,2,True,False,False,31471,5408,9210,31471,4768,4768
dlpfc,6,5,True,False,False,31471,5408,4831,31471,4768,4768
dlpfc,7,2,True,False,False,31921,5334,7762,31921,4768,4768
dlpfc,7,5,True,False,True,31921,5334,516,31921,4768,516
dlpfc,8,2,True,False,False,31921,5334,7762,31921,4768,4768
dlpfc,8,5,True,False,True,31921,5334,516,31921,4768,516
dlpfc,9,2,True,False,False,31921,5334,7762,31921,4768,4768
dlpfc,9,5,True,False,True,31921,5334,516,31921,4768,516
visium_breast,0,2,True,False,False,5233,903,1399,5233,778,779
visium_breast,0,5,True,False,True,5233,903,671,5233,778,671
visium_breast,1,2,True,False,False,5211,888,1414,5211,778,779
visium_breast,1,5,True,False,True,5211,888,597,5211,778,597
visium_breast,2,2,True,False,False,5172,830,1662,5172,778,779
visium_breast,2,5,True,False,False,5172,830,1240,5172,778,779
visium_breast,3,2,True,False,False,5233,903,1399,5233,778,779
visium_breast,3,5,True,False,True,5233,903,671,5233,778,671
visium_breast,4,2,True,False,False,5233,903,1399,5233,778,779
visium_breast,4,5,True,False,True,5233,903,671,5233,778,671
visium_breast,5,2,True,False,False,5233,903,1399,5233,778,779
visium_breast,5,5,True,False,True,5233,903,671,5233,778,671
visium_breast,6,2,True,False,False,5233,903,1399,5233,778,779
visium_breast,6,5,True,False,True,5233,903,671,5233,778,671
visium_breast,7,2,True,False,False,5172,830,1662,5172,778,779
visium_breast,7,5,True,False,False,5172,830,1240,5172,778,779
visium_breast,8,2,True,False,False,5233,903,1399,5233,778,779
visium_breast,8,5,True,False,True,5233,903,671,5233,778,671
visium_breast,9,2,True,False,False,5233,903,1399,5233,778,779
visium_breast,9,5,True,False,True,5233,903,671,5233,778,671
gse278936_prostate,0,2,True,False,True,87296,15586,2293,87296,13451,2293
gse278936_prostate,0,5,True,False,True,87296,15586,1509,87296,13451,1509
gse278936_prostate,1,2,True,False,True,87387,15495,2203,87387,13451,2203
gse278936_prostate,1,5,True,False,True,87387,15495,1203,87387,13451,1203
gse278936_prostate,2,2,True,False,True,87335,15547,2202,87335,13451,2202
gse278936_prostate,2,5,True,False,True,87335,15547,1203,87335,13451,1203
gse278936_prostate,3,2,True,False,True,87296,15586,2293,87296,13451,2293
gse278936_prostate,3,5,True,False,True,87296,15586,1509,87296,13451,1509
gse278936_prostate,4,2,True,False,True,87296,15586,2293,87296,13451,2293
gse278936_prostate,4,5,True,False,True,87296,15586,1509,87296,13451,1509
